Project,Exis.,Exec.,Exis-Exec.,Prop.,Exis-Prop.,Exec-Prop.,All,Non-Arch.
Apache-ARIES,1.00%,4.29%,0.00%,0.29%,0.00%,0.00%,0.00%,94.42%
Apache-JCLOUDS,0.19%,6.98%,0.00%,0.12%,0.00%,0.00%,0.00%,92.72%
Apache-GERONIMO,0.36%,4.72%,0.00%,0.16%,0.01%,0.00%,0.00%,94.75%
RedHat-MODE,2.24%,3.73%,0.00%,0.82%,0.22%,0.00%,0.00%,92.99%
Apache-HTTPCLIENT,0.37%,1.97%,0.00%,0.60%,0.00%,0.00%,0.00%,97.06%
Apache-HDDS,1.32%,2.42%,0.00%,0.41%,0.06%,0.00%,0.00%,95.79%
Apache-TOMAHAWK,0.18%,0.77%,0.00%,0.00%,0.00%,0.00%,0.00%,99.05%
RedHat-SWITCHYARD,0.90%,3.22%,0.00%,0.36%,0.03%,0.00%,0.00%,95.49%
Apache-FOP,0.10%,1.25%,0.00%,0.13%,0.00%,0.00%,0.00%,98.52%
RedHat-RESTEASY,0.22%,11.11%,0.00%,0.10%,0.00%,0.03%,0.00%,88.54%
RedHat-WINDUP,0.55%,2.78%,0.00%,0.32%,0.00%,0.00%,0.00%,96.35%
Apache-MRELEASE,0.28%,2.68%,0.00%,0.00%,0.00%,0.00%,0.00%,97.05%
Jira-BAM,0.70%,2.11%,0.00%,0.49%,0.01%,0.05%,0.00%,96.64%
Apache-OWB,0.00%,3.52%,0.00%,0.14%,0.00%,0.00%,0.00%,96.34%
Apache-TOBAGO,0.37%,3.80%,0.00%,0.00%,0.00%,0.00%,0.00%,95.84%
Apache-GOBBLIN,0.78%,3.07%,0.00%,0.33%,0.11%,0.00%,0.00%,95.70%
RedHat-GITOPS,1.04%,2.51%,0.00%,0.43%,0.09%,0.00%,0.00%,95.93%
JFrog-TCAP,0.00%,0.75%,0.00%,0.00%,0.00%,0.00%,0.00%,99.25%
RedHat-JBSEAM,0.62%,2.42%,0.00%,0.26%,0.04%,0.00%,0.00%,96.66%
Jira-I18N,0.00%,1.32%,0.00%,0.00%,0.00%,0.00%,0.00%,98.68%
RedHat-CEQ,0.00%,1.65%,0.00%,0.00%,0.00%,0.00%,0.00%,98.35%
Apache-PIVOT,1.06%,1.06%,0.00%,0.38%,0.10%,0.00%,0.00%,97.41%
Apache-BATIK,0.07%,0.81%,0.00%,0.15%,0.00%,0.00%,0.00%,98.96%
Spring-IDE,0.14%,1.08%,0.00%,0.14%,0.00%,0.00%,0.00%,98.63%
