Project,Domain,First Quantile,Mean,Third Quantile,Standard Deviation,Total Issue Count
RedHat-WFLY,web development,0.00,0.00,0.00,0.79,14646
Apache-PDFBOX,content management,0.00,0.00,0.00,0.72,5562
Apache-XERCESJ,content management,0.00,0.00,0.00,1.08,1746
Apache-AXIS,soa and middlewares,0.00,0.00,0.00,0.72,2922
Apache-TUSCANY,soa and middlewares,0.00,0.00,0.00,0.12,4082
RedHat-ARQ,software development tools,0.00,0.00,0.00,3.06,2175
Spring-DATAREST,data storage & processing,0.00,0.00,0.00,2.63,1565
Apache-IVY,software development tools,0.00,0.00,0.00,1.33,1630
RedHat-ENTMQST,soa and middlewares,0.00,0.00,0.00,0.17,3141
Spring-SWS,soa and middlewares,0.00,0.00,0.00,1.72,1041
Apache-STANBOL,content management,0.00,0.00,0.00,0.24,1473
Apache-SQOOP,data storage & processing,0.00,0.00,0.00,0.67,3152
Apache-OLINGO,soa and middlewares,0.00,0.00,0.00,0.54,1592
RedHat-FORGE,software development tools,0.00,0.00,0.00,0.30,2636
Apache-OPENJPA,data storage & processing,0.00,0.00,0.00,0.52,2903
RedHat-AS7,web development,0.00,0.00,0.00,0.84,5427
RedHat-TEIID,data storage & processing,0.00,0.00,0.00,0.24,5775
Apache-TAPESTRY,web development,0.00,0.00,0.00,0.97,2499
Apache-EAGLE,data storage & processing,0.00,0.00,0.00,0.13,1097
Apache-MAPREDUCE,data storage & processing,0.00,0.00,0.00,0.50,7109
Apache-JSPWIKI,content management,0.00,0.00,0.00,0.33,1057
Apache-ZOOKEEPER,devops and cloud,0.00,0.00,0.00,1.26,4485
Apache-CAMEL,soa and middlewares,0.00,0.00,0.00,0.51,19066
RedHat-ENTMQ,soa and middlewares,0.00,0.00,0.00,0.26,1480
RedHat-RHCLOUD,devops and cloud,0.00,0.00,0.00,0.11,3959
Apache-LUCENE,content management,0.00,0.00,0.00,0.93,10630
