Project,Domain,Exis.,Exec.,Exis-Exec.,Prop.,Exis-Prop.,Exec-Prop.,All,Non-Arch.,Total
RedHat-TEIID,data storage & processing,60,133,0,35,8,0,0,5539,5775
Apache-TAPESTRY,web development,12,22,0,3,0,0,0,2462,2499
Apache-EAGLE,data storage & processing,19,29,0,3,1,0,0,1045,1097
Apache-MAPREDUCE,data storage & processing,73,47,0,94,27,1,0,6867,7109
Apache-JSPWIKI,content management,2,38,0,0,0,0,0,1017,1057
Apache-ZOOKEEPER,devops and cloud,27,194,0,45,7,3,0,4209,4485
Apache-CAMEL,soa and middlewares,132,1245,0,40,7,0,0,17642,19066
RedHat-ENTMQ,soa and middlewares,2,29,0,5,0,1,0,1443,1480
RedHat-RHCLOUD,devops and cloud,23,66,0,11,0,0,0,3859,3959
Apache-LUCENE,content management,74,237,0,113,19,3,0,10184,10630
