Project,Domain,Exis.,Exec.,Exis-Exec.,Prop.,Exis-Prop.,Exec-Prop.,All,Non-Arch.
Apache-WW,web development,2.62%,8.27%,0.23%,0.42%,0.34%,0.34%,0.04%,87.73%
Jira-CLOUD,devops and cloud,2.63%,12.62%,0.17%,0.59%,0.43%,0.18%,0.04%,83.35%
Apache-AIRAVATA,soa and middlewares,9.85%,6.83%,1.88%,0.60%,1.06%,0.54%,0.52%,78.72%
Apache-CALCITE,data storage & processing,2.16%,9.54%,0.67%,0.47%,0.52%,0.34%,0.02%,86.28%
Apache-XALANJ,content management,0.34%,2.73%,0.11%,0.46%,0.11%,0.11%,0.00%,96.13%
Apache-CLOUDSTACK,devops and cloud,4.53%,3.20%,0.44%,0.37%,0.64%,0.13%,0.09%,90.60%
Spring-DATAREDIS,data storage & processing,1.51%,26.89%,0.00%,0.48%,0.00%,0.32%,0.16%,70.64%
RedHat-APIMAN,soa and middlewares,11.00%,7.78%,0.52%,0.90%,1.95%,0.45%,0.22%,77.17%
Apache-DIRSERVER,soa and middlewares,4.14%,5.97%,0.31%,1.18%,1.09%,0.17%,0.04%,87.10%
JiraEcosystem-ACJIRA,software development tools,7.42%,4.44%,0.33%,0.57%,0.24%,0.09%,0.05%,86.86%
Apache-GEODE,data storage & processing,3.49%,4.88%,0.24%,0.54%,0.78%,0.19%,0.00%,89.88%
Apache-JUDDI,soa and middlewares,3.54%,9.23%,0.88%,0.79%,0.69%,0.39%,0.20%,84.28%
JiraEcosystem-AMPS,software development tools,1.25%,17.17%,0.20%,0.07%,0.00%,0.00%,0.00%,81.31%
RedHat-KATA,devops and cloud,9.24%,6.84%,0.98%,0.36%,0.09%,0.44%,0.00%,82.04%
RedHat-OPECO,devops and cloud,11.09%,14.97%,3.23%,0.28%,0.92%,0.18%,0.18%,69.13%
Apache-STORM,data storage & processing,4.16%,10.59%,0.94%,1.20%,1.07%,0.52%,0.21%,81.32%
RedHat-EJBTHREE,soa and middlewares,3.93%,5.66%,0.05%,0.41%,0.23%,0.09%,0.00%,89.63%
Apache-DIRSTUDIO,soa and middlewares,4.34%,6.36%,0.08%,0.62%,0.54%,0.00%,0.08%,87.98%
JiraEcosystem-FRGE,software development tools,7.97%,10.39%,1.13%,1.13%,1.21%,0.43%,0.35%,77.40%
Apache-SYNAPSE,soa and middlewares,9.64%,3.66%,1.07%,0.98%,2.86%,0.36%,0.36%,81.07%
RedHat-SDN,devops and cloud,11.53%,11.40%,0.96%,0.51%,1.22%,0.26%,0.26%,73.86%
Apache-OAK,content management,4.46%,8.08%,0.38%,1.39%,1.30%,0.22%,0.19%,83.99%
RedHat-ENTMQBR,soa and middlewares,5.51%,6.87%,0.39%,0.98%,1.07%,0.24%,0.04%,84.89%
Sonatype-NEXUS,devops and cloud,3.88%,5.31%,0.17%,0.79%,0.49%,0.46%,0.02%,88.88%
RedHat-SRVKP,devops and cloud,11.29%,9.80%,1.70%,0.75%,1.02%,0.14%,0.07%,75.24%
Apache-UIMA,content management,5.23%,7.13%,0.46%,0.52%,0.69%,0.11%,0.12%,85.72%
Apache-CONTINUUM,software development tools,3.96%,3.60%,0.18%,0.62%,0.51%,0.07%,0.00%,91.04%
Spring-DATAES,data storage & processing,2.99%,26.02%,0.30%,0.10%,0.30%,0.00%,0.00%,70.29%
RedHat-HAWKULAR,devops and cloud,5.42%,6.57%,0.53%,0.23%,0.46%,0.15%,0.00%,86.63%
Jira-CLOV,software development tools,2.33%,11.93%,0.13%,0.47%,0.20%,0.00%,0.07%,84.88%
RedHat-JGRP,soa and middlewares,9.34%,3.05%,0.12%,1.33%,3.48%,0.16%,0.08%,82.45%
Apache-LENS,data storage & processing,5.79%,3.72%,0.28%,0.21%,0.55%,0.07%,0.28%,89.11%
JiraEcosystem-AUI,software development tools,4.62%,7.57%,0.24%,0.33%,0.21%,0.05%,0.00%,86.98%
Apache-OPENEJB,soa and middlewares,2.49%,7.72%,0.59%,0.49%,0.24%,0.05%,0.00%,88.42%
Apache-HBASE,data storage & processing,3.57%,6.12%,0.42%,1.14%,1.64%,0.28%,0.13%,86.71%
RedHat-DBZ,data storage & processing,4.57%,9.22%,0.74%,0.34%,0.38%,0.14%,0.07%,84.53%
RedHat-CLOUD,devops and cloud,2.08%,29.16%,0.17%,0.09%,0.43%,3.03%,0.00%,65.04%
Spring-XD,data storage & processing,7.50%,11.41%,0.78%,0.54%,0.81%,0.16%,0.05%,78.74%
Spring-DATAJPA,data storage & processing,1.42%,19.15%,0.00%,0.06%,0.30%,0.00%,0.06%,79.02%
Apache-APEXMALHAR,data storage & processing,7.06%,7.40%,1.18%,0.29%,1.52%,0.15%,0.05%,82.36%
RedHat-DEVELOPER,web development,9.94%,8.39%,0.26%,0.68%,0.50%,0.17%,0.09%,79.98%
Apache-CXF,soa and middlewares,3.35%,6.86%,0.67%,0.54%,0.57%,0.30%,0.05%,87.67%
Apache-ASTERIXDB,data storage & processing,3.40%,2.89%,0.26%,0.71%,1.03%,0.10%,0.00%,91.63%
Apache-HADOOP,data storage & processing,4.44%,6.73%,0.48%,1.34%,2.05%,0.69%,0.21%,84.04%
JiraEcosystem-UPM,devops and cloud,1.41%,6.00%,0.03%,0.16%,0.08%,0.05%,0.00%,92.28%
JiraEcosystem-APL,software development tools,4.72%,6.38%,0.63%,0.39%,0.31%,0.55%,0.08%,86.93%
Spring-DATAGRAPH,data storage & processing,2.73%,28.19%,0.34%,0.14%,0.61%,0.07%,0.14%,67.78%
RedHat-CNV,devops and cloud,6.04%,7.13%,0.78%,1.23%,0.72%,1.53%,0.14%,82.44%
Apache-TIKA,content management,2.36%,17.11%,0.68%,0.70%,0.48%,1.01%,0.08%,77.58%
Sonatype-MVNCENTRAL,devops and cloud,0.78%,19.96%,0.84%,0.00%,0.00%,0.06%,0.00%,78.36%
Apache-DERBY,data storage & processing,1.96%,4.79%,0.25%,1.25%,0.64%,0.20%,0.03%,90.88%
Apache-ATLAS,data storage & processing,8.30%,7.70%,0.83%,0.45%,0.98%,0.17%,0.06%,81.51%
Apache-RANGER,data storage & processing,5.00%,10.15%,0.83%,0.95%,0.85%,0.41%,0.15%,81.66%
Apache-CMIS,content management,3.74%,9.57%,1.00%,0.82%,0.82%,0.27%,0.00%,83.77%
Apache-BEEHIVE,web development,2.84%,3.57%,0.00%,0.32%,0.41%,0.00%,0.00%,92.85%
Jira-CONFSERVER,content management,2.89%,3.58%,0.28%,0.47%,0.33%,0.31%,0.02%,92.12%
Apache-SUREFIRE,software development tools,0.61%,11.60%,0.09%,0.09%,0.05%,0.23%,0.05%,87.28%
Jira-FE,software development tools,1.90%,8.84%,0.18%,0.88%,0.45%,1.18%,0.02%,86.57%
Apache-MYFACES,web development,2.30%,3.61%,0.24%,0.66%,0.28%,0.14%,0.05%,92.72%
MongoDB-JAVA,data storage & processing,2.41%,7.05%,0.27%,0.71%,0.40%,0.25%,0.04%,88.86%
Spring-INT,soa and middlewares,7.61%,7.37%,0.38%,0.31%,0.80%,0.11%,0.11%,83.31%
Sonatype-OSSRH,devops and cloud,3.05%,33.80%,3.28%,0.16%,0.29%,0.29%,0.26%,58.87%
Apache-ARTEMIS,soa and middlewares,5.13%,7.99%,0.37%,1.22%,1.49%,0.46%,0.10%,83.24%
JiraEcosystem-AC,software development tools,5.53%,6.88%,0.51%,0.71%,0.71%,0.19%,0.13%,85.34%
JFrog-HAP,devops and cloud,2.86%,7.11%,0.23%,0.15%,0.23%,0.08%,0.00%,89.34%
Apache-SHINDIG,web development,4.70%,7.33%,0.71%,0.91%,0.96%,0.30%,0.05%,85.04%
Apache-REEF,data storage & processing,7.65%,8.71%,0.68%,0.48%,2.18%,0.29%,0.19%,79.82%
Apache-HAMA,data storage & processing,6.66%,8.95%,0.60%,1.59%,3.68%,0.70%,0.30%,77.53%
Apache-TAJO,data storage & processing,8.75%,4.86%,1.33%,0.82%,3.39%,0.41%,0.37%,80.07%
RedHat-WFLY,web development,2.75%,21.84%,0.36%,0.46%,0.52%,0.33%,0.03%,73.71%
Apache-PDFBOX,content management,1.22%,4.37%,0.09%,0.56%,0.25%,0.09%,0.00%,93.42%
Apache-XERCESJ,content management,1.55%,4.18%,0.34%,0.17%,0.11%,0.34%,0.00%,93.30%
Apache-AXIS,soa and middlewares,1.44%,2.09%,0.24%,0.44%,0.14%,0.21%,0.03%,95.41%
Apache-TUSCANY,soa and middlewares,5.32%,5.37%,0.83%,0.27%,0.39%,0.02%,0.10%,87.70%
RedHat-ARQ,software development tools,4.46%,18.99%,0.69%,0.23%,0.23%,0.05%,0.05%,75.31%
Spring-DATAREST,data storage & processing,1.92%,17.06%,0.19%,0.19%,0.13%,0.19%,0.00%,80.32%
Apache-IVY,software development tools,2.33%,3.74%,0.00%,0.61%,0.31%,0.18%,0.00%,92.82%
RedHat-ENTMQST,soa and middlewares,4.65%,18.82%,0.60%,0.70%,0.92%,0.48%,0.10%,73.73%
Spring-SWS,soa and middlewares,4.23%,11.43%,0.29%,0.38%,0.48%,0.19%,0.10%,82.90%
Apache-STANBOL,content management,13.85%,10.52%,1.90%,0.34%,1.22%,0.14%,0.07%,71.96%
Apache-SQOOP,data storage & processing,5.20%,6.69%,0.76%,0.51%,0.67%,0.03%,0.03%,86.10%
Apache-OLINGO,soa and middlewares,5.72%,8.17%,1.26%,0.38%,0.50%,0.19%,0.00%,83.79%
RedHat-FORGE,software development tools,3.76%,9.79%,0.38%,0.38%,0.00%,0.04%,0.04%,85.62%
Apache-OPENJPA,data storage & processing,2.76%,7.41%,0.59%,0.96%,0.45%,0.03%,0.07%,87.74%
RedHat-AS7,web development,5.16%,8.07%,0.24%,0.41%,0.63%,0.11%,0.02%,85.37%
RedHat-TEIID,data storage & processing,6.55%,6.25%,0.50%,0.90%,1.25%,0.21%,0.16%,84.19%
Apache-TAPESTRY,web development,4.84%,3.12%,0.08%,0.32%,0.52%,0.04%,0.00%,91.08%
Apache-EAGLE,data storage & processing,8.66%,8.66%,1.37%,0.27%,1.09%,0.09%,0.27%,79.58%
Apache-MAPREDUCE,data storage & processing,4.35%,1.66%,0.18%,1.38%,2.11%,0.13%,0.11%,90.08%
Apache-JSPWIKI,content management,2.18%,10.60%,0.85%,1.04%,0.19%,0.38%,0.00%,84.77%
Apache-ZOOKEEPER,devops and cloud,3.08%,8.05%,0.60%,0.96%,1.45%,1.63%,0.13%,84.10%
Apache-CAMEL,soa and middlewares,5.16%,13.52%,1.37%,0.27%,0.45%,0.19%,0.08%,78.96%
RedHat-ENTMQ,soa and middlewares,2.70%,3.58%,0.27%,0.74%,0.27%,0.68%,0.07%,91.69%
RedHat-RHCLOUD,devops and cloud,6.87%,6.57%,0.43%,0.45%,0.63%,0.56%,0.05%,84.44%
Apache-LUCENE,content management,3.53%,6.59%,0.65%,2.07%,1.48%,0.53%,0.27%,84.89%
