Project,Exis.,Exec.,Exis-Exec.,Prop.,Exis-Prop.,Exec-Prop.,All,Non-Arch.,Total
Apache-BATIK,8,83,1,3,1,2,0,1253,1351
Spring-IDE,34,92,2,3,3,0,0,1252,1386
Apache-AMQ,364,724,14,81,102,53,6,6499,7843
RedHat-AF,302,187,42,6,24,6,4,2141,2712
Jira-CRUC,180,306,7,29,22,60,3,6177,6784
RedHat-THORN,62,355,13,8,4,2,0,2023,2467
Apache-KARAF,191,2302,18,20,19,20,1,4911,7482
Jira-CONFCLOUD,1108,599,82,84,74,23,3,24874,26847
Apache-OODT,111,112,29,2,13,3,2,769,1041
Apache-AXIS2,204,243,26,34,28,18,1,5396,5950
Apache-HUDI,300,571,52,40,62,16,4,4818,5863
Apache-GROOVY,115,856,27,24,13,12,2,9667,10716
JiraEcosystem-AG,31,139,2,6,2,2,0,1304,1486
RedHat-ENTMQMAAS,196,116,4,8,10,8,0,1915,2257
Apache-DRILL,473,405,41,82,122,21,5,7218,8367
Apache-HDFS,1053,225,41,240,363,34,16,14133,16105
RedHat-JBDS,74,678,9,5,4,10,1,3445,4226
RedHat-JBPAPP,61,804,4,9,10,15,1,5029,5933
JiraEcosystem-PLUG,70,113,6,6,9,2,0,959,1165
Apache-NUTCH,128,361,10,16,29,11,6,2410,2971
Apache-ACCUMULO,170,224,7,60,95,11,4,4174,4745
Apache-COCOON,100,134,7,9,13,2,2,2099,2366
RedHat-SB,46,356,10,1,5,7,0,895,1320
Apache-JS2,114,119,16,13,28,6,4,1055,1355
Spring-SWF,113,120,11,6,8,2,1,1407,1668
RedHat-JBESB,215,264,16,21,39,4,1,3330,3890
Apache-MRM,72,143,7,21,10,8,0,1755,2016
RedHat-JBIDE,635,3841,57,52,24,11,2,23185,27807
RedHat-JBTM,144,469,18,27,26,9,8,2967,3668
RedHat-JWS,8,213,2,3,0,15,0,801,1042
Apache-ROL,71,135,8,13,9,2,1,1898,2137
RedHat-JBAS,251,1098,15,35,50,6,8,6931,8394
JFrog-RTFACT,904,743,71,169,165,37,6,14203,16298
Apache-IOTDB,321,226,29,61,93,14,9,4872,5625
Jira-BCLOUD,602,784,20,94,76,27,4,19675,21282
Apache-TAP5,164,165,11,16,21,4,4,2361,2746
Jira-JRASERVER,1761,2164,96,239,239,204,15,44013,48731
Apache-DIRMINA,57,54,3,16,22,2,0,974,1128
RedHat-OCPPLAN,247,235,32,14,47,5,13,762,1355
Apache-FLINK,1700,2030,186,228,398,88,27,26659,31316
Apache-METRON,205,227,19,21,43,14,5,1815,2349
Spring-DATAMONGO,46,405,11,5,7,0,1,2115,2590
Apache-LOG4J2,111,531,52,20,23,28,3,2864,3632
Apache-BOOKKEEPER,106,58,7,14,27,4,0,879,1095
Apache-STR,144,111,4,9,12,2,0,2727,3009
Apache-YARN,1106,173,34,111,267,16,11,9444,11162
RedHat-MON,163,154,18,23,30,6,2,973,1369
Spring-SPR,573,958,71,76,75,24,10,15626,17413
RedHat-JBEAP,303,2710,12,56,30,15,2,14920,18048
Apache-PHOENIX,249,584,38,58,96,18,9,5814,6866
Apache-JCR,145,759,17,56,50,11,4,3740,4782
Apache-FALCON,148,186,9,11,14,3,0,1972,2343
RedHat-WELD,66,193,2,12,7,1,1,2333,2615
Apache-BIGTOP,69,963,18,8,14,7,1,2819,3899
Apache-SSHD,60,123,6,24,18,7,2,1080,1320
RedHat-OSSM,116,333,36,14,19,7,9,1706,2240
JiraEcosystem-PLE,47,99,3,4,2,0,0,1344,1499
Apache-SCB,167,381,6,8,31,2,2,2150,2747
Apache-SLIDER,129,67,5,4,18,2,0,1040,1265
RedHat-RFE,594,52,59,24,73,6,11,798,1617
